SOC,Title,Element_ID,Element_Name,Category,Description,Data_Value
17-1021.00,"Cartographers and Photogrammetrists",3.A.1,"Related Work Experience",8,"Over 4 years, up to and including 6 years",0.97
17-1021.00,"Cartographers and Photogrammetrists",3.A.1,"Related Work Experience",10,"Over 8 years, up to and including 10 years",1.96
17-1021.00,"Cartographers and Photogrammetrists",3.A.1,"Related Work Experience",11,"Over 10 years",1.96
17-1022.00,Surveyors,3.A.1,"Related Work Experience",1,None,16.67
17-1022.00,Surveyors,3.A.1,"Related Work Experience",2,"Up to and including 1 month",3.33
17-1022.00,Surveyors,3.A.1,"Related Work Experience",5,"Over 6 months, up to and including 1 year",3.33
17-1022.00,Surveyors,3.A.1,"Related Work Experience",6,"Over 1 year, up to and including 2 years",10
17-1022.00,Surveyors,3.A.1,"Related Work Experience",7,"Over 2 years, up to and including 4 years",16.67
17-1022.00,Surveyors,3.A.1,"Related Work Experience",8,"Over 4 years, up to and including 6 years",23.33
17-1022.00,Surveyors,3.A.1,"Related Work Experience",9,"Over 6 years, up to and including 8 years",10
17-1022.00,Surveyors,3.A.1,"Related Work Experience",10,"Over 8 years, up to and including 10 years",13.33
17-1022.00,Surveyors,3.A.1,"Related Work Experience",11,"Over 10 years",3.33
17-1022.01,"Geodetic Surveyors",3.A.1,"Related Work Experience",1,None,15
17-1022.01,"Geodetic Surveyors",3.A.1,"Related Work Experience",5,"Over 6 months, up to and including 1 year",15
17-1022.01,"Geodetic Surveyors",3.A.1,"Related Work Experience",6,"Over 1 year, up to and including 2 years",20
17-1022.01,"Geodetic Surveyors",3.A.1,"Related Work Experience",7,"Over 2 years, up to and including 4 years",20
17-1022.01,"Geodetic Surveyors",3.A.1,"Related Work Experience",8,"Over 4 years, up to and including 6 years",25
17-1022.01,"Geodetic Surveyors",3.A.1,"Related Work Experience",11,"Over 10 years",5
17-2011.00,"Aerospace Engineers",3.A.1,"Related Work Experience",1,None,7.47
17-2011.00,"Aerospace Engineers",3.A.1,"Related Work Experience",5,"Over 6 months, up to and including 1 year",6.59
17-2011.00,"Aerospace Engineers",3.A.1,"Related Work Experience",6,"Over 1 year, up to and including 2 years",9.38
17-2011.00,"Aerospace Engineers",3.A.1,"Related Work Experience",7,"Over 2 years, up to and including 4 years",32.26
17-2011.00,"Aerospace Engineers",3.A.1,"Related Work Experience",8,"Over 4 years, up to and including 6 years",20.48
17-2011.00,"Aerospace Engineers",3.A.1,"Related Work Experience",9,"Over 6 years, up to and including 8 years",7.57
17-2011.00,"Aerospace Engineers",3.A.1,"Related Work Experience",10,"Over 8 years, up to and including 10 years",9.67
17-2011.00,"Aerospace Engineers",3.A.1,"Related Work Experience",11,"Over 10 years",6.59
17-2021.00,"Agricultural Engineers",3.A.1,"Related Work Experience",1,None,30.77
17-2021.00,"Agricultural Engineers",3.A.1,"Related Work Experience",4,"Over 3 months, up to and including 6 months",3.85
17-2021.00,"Agricultural Engineers",3.A.1,"Related Work Experience",5,"Over 6 months, up to and including 1 year",7.69
17-2021.00,"Agricultural Engineers",3.A.1,"Related Work Experience",6,"Over 1 year, up to and including 2 years",15.38
17-2021.00,"Agricultural Engineers",3.A.1,"Related Work Experience",7,"Over 2 years, up to and including 4 years",23.08
17-2021.00,"Agricultural Engineers",3.A.1,"Related Work Experience",8,"Over 4 years, up to and including 6 years",7.69
17-2021.00,"Agricultural Engineers",3.A.1,"Related Work Experience",9,"Over 6 years, up to and including 8 years",11.54
17-2031.00,"Bioengineers and Biomedical Engineers",3.A.1,"Related Work Experience",1,None,26.67
17-2031.00,"Bioengineers and Biomedical Engineers",3.A.1,"Related Work Experience",3,"Over 1 month, up to and including 3 months",6.67
17-2031.00,"Bioengineers and Biomedical Engineers",3.A.1,"Related Work Experience",4,"Over 3 months, up to and including 6 months",3.33
17-2031.00,"Bioengineers and Biomedical Engineers",3.A.1,"Related Work Experience",5,"Over 6 months, up to and including 1 year",3.33
17-2031.00,"Bioengineers and Biomedical Engineers",3.A.1,"Related Work Experience",6,"Over 1 year, up to and including 2 years",36.67
17-2031.00,"Bioengineers and Biomedical Engineers",3.A.1,"Related Work Experience",7,"Over 2 years, up to and including 4 years",13.33
17-2031.00,"Bioengineers and Biomedical Engineers",3.A.1,"Related Work Experience",8,"Over 4 years, up to and including 6 years",3.33
17-2031.00,"Bioengineers and Biomedical Engineers",3.A.1,"Related Work Experience",11,"Over 10 years",6.67
17-2041.00,"Chemical Engineers",3.A.1,"Related Work Experience",1,None,36.36
17-2041.00,"Chemical Engineers",3.A.1,"Related Work Experience",3,"Over 1 month, up to and including 3 months",4.55
17-2041.00,"Chemical Engineers",3.A.1,"Related Work Experience",4,"Over 3 months, up to and including 6 months",9.09
17-2041.00,"Chemical Engineers",3.A.1,"Related Work Experience",5,"Over 6 months, up to and including 1 year",9.09
17-2041.00,"Chemical Engineers",3.A.1,"Related Work Experience",6,"Over 1 year, up to and including 2 years",13.64
17-2041.00,"Chemical Engineers",3.A.1,"Related Work Experience",7,"Over 2 years, up to and including 4 years",9.09
17-2041.00,"Chemical Engineers",3.A.1,"Related Work Experience",8,"Over 4 years, up to and including 6 years",13.64
17-2041.00,"Chemical Engineers",3.A.1,"Related Work Experience",11,"Over 10 years",4.55
17-2051.00,"Civil Engineers",3.A.1,"Related Work Experience",1,None,23.81
17-2051.00,"Civil Engineers",3.A.1,"Related Work Experience",5,"Over 6 months, up to and including 1 year",4.76
17-2051.00,"Civil Engineers",3.A.1,"Related Work Experience",6,"Over 1 year, up to and including 2 years",14.29
17-2051.00,"Civil Engineers",3.A.1,"Related Work Experience",7,"Over 2 years, up to and including 4 years",23.81
17-2051.00,"Civil Engineers",3.A.1,"Related Work Experience",8,"Over 4 years, up to and including 6 years",28.57
17-2051.00,"Civil Engineers",3.A.1,"Related Work Experience",9,"Over 6 years, up to and including 8 years",4.76
17-2051.01,"Transportation Engineers",3.A.1,"Related Work Experience",1,None,36.36
17-2051.01,"Transportation Engineers",3.A.1,"Related Work Experience",4,"Over 3 months, up to and including 6 months",4.55
17-2051.01,"Transportation Engineers",3.A.1,"Related Work Experience",5,"Over 6 months, up to and including 1 year",13.64
17-2051.01,"Transportation Engineers",3.A.1,"Related Work Experience",6,"Over 1 year, up to and including 2 years",4.55
17-2051.01,"Transportation Engineers",3.A.1,"Related Work Experience",7,"Over 2 years, up to and including 4 years",9.09
17-2051.01,"Transportation Engineers",3.A.1,"Related Work Experience",8,"Over 4 years, up to and including 6 years",22.73
17-2051.01,"Transportation Engineers",3.A.1,"Related Work Experience",9,"Over 6 years, up to and including 8 years",9.09
17-2051.02,"Water/Wastewater Engineers",3.A.1,"Related Work Experience",1,None,18.18
17-2051.02,"Water/Wastewater Engineers",3.A.1,"Related Work Experience",4,"Over 3 months, up to and including 6 months",9.09
17-2051.02,"Water/Wastewater Engineers",3.A.1,"Related Work Experience",5,"Over 6 months, up to and including 1 year",22.73
17-2051.02,"Water/Wastewater Engineers",3.A.1,"Related Work Experience",6,"Over 1 year, up to and including 2 years",9.09
17-2051.02,"Water/Wastewater Engineers",3.A.1,"Related Work Experience",7,"Over 2 years, up to and including 4 years",22.73
17-2051.02,"Water/Wastewater Engineers",3.A.1,"Related Work Experience",8,"Over 4 years, up to and including 6 years",4.55
17-2051.02,"Water/Wastewater Engineers",3.A.1,"Related Work Experience",10,"Over 8 years, up to and including 10 years",4.55
17-2051.02,"Water/Wastewater Engineers",3.A.1,"Related Work Experience",11,"Over 10 years",9.09
17-2061.00,"Computer Hardware Engineers",3.A.1,"Related Work Experience",1,None,10.34
17-2061.00,"Computer Hardware Engineers",3.A.1,"Related Work Experience",3,"Over 1 month, up to and including 3 months",6.9
17-2061.00,"Computer Hardware Engineers",3.A.1,"Related Work Experience",5,"Over 6 months, up to and including 1 year",3.45
17-2061.00,"Computer Hardware Engineers",3.A.1,"Related Work Experience",6,"Over 1 year, up to and including 2 years",27.59
17-2061.00,"Computer Hardware Engineers",3.A.1,"Related Work Experience",7,"Over 2 years, up to and including 4 years",24.14
17-2061.00,"Computer Hardware Engineers",3.A.1,"Related Work Experience",8,"Over 4 years, up to and including 6 years",3.45
17-2061.00,"Computer Hardware Engineers",3.A.1,"Related Work Experience",9,"Over 6 years, up to and including 8 years",10.34
17-2061.00,"Computer Hardware Engineers",3.A.1,"Related Work Experience",10,"Over 8 years, up to and including 10 years",3.45
17-2061.00,"Computer Hardware Engineers",3.A.1,"Related Work Experience",11,"Over 10 years",10.34
17-2071.00,"Electrical Engineers",3.A.1,"Related Work Experience",1,None,2.65
17-2071.00,"Electrical Engineers",3.A.1,"Related Work Experience",4,"Over 3 months, up to and including 6 months",1.81
17-2071.00,"Electrical Engineers",3.A.1,"Related Work Experience",5,"Over 6 months, up to and including 1 year",6.13
17-2071.00,"Electrical Engineers",3.A.1,"Related Work Experience",6,"Over 1 year, up to and including 2 years",36.85
17-2071.00,"Electrical Engineers",3.A.1,"Related Work Experience",7,"Over 2 years, up to and including 4 years",16.24
17-2071.00,"Electrical Engineers",3.A.1,"Related Work Experience",8,"Over 4 years, up to and including 6 years",4.34
17-2071.00,"Electrical Engineers",3.A.1,"Related Work Experience",9,"Over 6 years, up to and including 8 years",12.76
17-2071.00,"Electrical Engineers",3.A.1,"Related Work Experience",10,"Over 8 years, up to and including 10 years",0.44
17-2071.00,"Electrical Engineers",3.A.1,"Related Work Experience",11,"Over 10 years",18.77
17-2072.00,"Electronics Engineers, Except Computer",3.A.1,"Related Work Experience",1,None,0.69
17-2072.00,"Electronics Engineers, Except Computer",3.A.1,"Related Work Experience",5,"Over 6 months, up to and including 1 year",9.13
17-2072.00,"Electronics Engineers, Except Computer",3.A.1,"Related Work Experience",6,"Over 1 year, up to and including 2 years",34.86
17-2072.00,"Electronics Engineers, Except Computer",3.A.1,"Related Work Experience",7,"Over 2 years, up to and including 4 years",23.94
17-2072.00,"Electronics Engineers, Except Computer",3.A.1,"Related Work Experience",8,"Over 4 years, up to and including 6 years",12.92
17-2072.00,"Electronics Engineers, Except Computer",3.A.1,"Related Work Experience",9,"Over 6 years, up to and including 8 years",12.32
17-2072.00,"Electronics Engineers, Except Computer",3.A.1,"Related Work Experience",10,"Over 8 years, up to and including 10 years",0.17
17-2072.00,"Electronics Engineers, Except Computer",3.A.1,"Related Work Experience",11,"Over 10 years",5.96
17-2072.01,"Radio Frequency Identification Device Specialists",3.A.1,"Related Work Experience",5,"Over 6 months, up to and including 1 year",7.8
17-2072.01,"Radio Frequency Identification Device Specialists",3.A.1,"Related Work Experience",6,"Over 1 year, up to and including 2 years",17.47
17-2072.01,"Radio Frequency Identification Device Specialists",3.A.1,"Related Work Experience",7,"Over 2 years, up to and including 4 years",25.56
17-2072.01,"Radio Frequency Identification Device Specialists",3.A.1,"Related Work Experience",8,"Over 4 years, up to and including 6 years",10.14
17-2072.01,"Radio Frequency Identification Device Specialists",3.A.1,"Related Work Experience",9,"Over 6 years, up to and including 8 years",10.83
17-2072.01,"Radio Frequency Identification Device Specialists",3.A.1,"Related Work Experience",10,"Over 8 years, up to and including 10 years",3.4
17-2072.01,"Radio Frequency Identification Device Specialists",3.A.1,"Related Work Experience",11,"Over 10 years",24.79
17-2081.00,"Environmental Engineers",3.A.1,"Related Work Experience",1,None,9.09
17-2081.00,"Environmental Engineers",3.A.1,"Related Work Experience",4,"Over 3 months, up to and including 6 months",9.09
17-2081.00,"Environmental Engineers",3.A.1,"Related Work Experience",5,"Over 6 months, up to and including 1 year",22.73
17-2081.00,"Environmental Engineers",3.A.1,"Related Work Experience",6,"Over 1 year, up to and including 2 years",13.64
17-2081.00,"Environmental Engineers",3.A.1,"Related Work Experience",7,"Over 2 years, up to and including 4 years",18.18
17-2081.00,"Environmental Engineers",3.A.1,"Related Work Experience",8,"Over 4 years, up to and including 6 years",22.73
17-2081.00,"Environmental Engineers",3.A.1,"Related Work Experience",9,"Over 6 years, up to and including 8 years",4.55
17-2111.02,"Fire-Prevention and Protection Engineers",3.A.1,"Related Work Experience",1,None,35
17-2111.02,"Fire-Prevention and Protection Engineers",3.A.1,"Related Work Experience",4,"Over 3 months, up to and including 6 months",5
17-2111.02,"Fire-Prevention and Protection Engineers",3.A.1,"Related Work Experience",5,"Over 6 months, up to and including 1 year",5
17-2111.02,"Fire-Prevention and Protection Engineers",3.A.1,"Related Work Experience",6,"Over 1 year, up to and including 2 years",5
17-2111.02,"Fire-Prevention and Protection Engineers",3.A.1,"Related Work Experience",7,"Over 2 years, up to and including 4 years",25
17-2111.02,"Fire-Prevention and Protection Engineers",3.A.1,"Related Work Experience",8,"Over 4 years, up to and including 6 years",10
17-2111.02,"Fire-Prevention and Protection Engineers",3.A.1,"Related Work Experience",9,"Over 6 years, up to and including 8 years",10
17-2111.02,"Fire-Prevention and Protection Engineers",3.A.1,"Related Work Experience",11,"Over 10 years",5
17-2112.00,"Industrial Engineers",3.A.1,"Related Work Experience",3,"Over 1 month, up to and including 3 months",4.54
17-2112.00,"Industrial Engineers",3.A.1,"Related Work Experience",5,"Over 6 months, up to and including 1 year",1.56
17-2112.00,"Industrial Engineers",3.A.1,"Related Work Experience",6,"Over 1 year, up to and including 2 years",8.94
17-2112.00,"Industrial Engineers",3.A.1,"Related Work Experience",7,"Over 2 years, up to and including 4 years",42.46
17-2112.00,"Industrial Engineers",3.A.1,"Related Work Experience",8,"Over 4 years, up to and including 6 years",15.29
17-2112.00,"Industrial Engineers",3.A.1,"Related Work Experience",9,"Over 6 years, up to and including 8 years",5.82
17-2112.00,"Industrial Engineers",3.A.1,"Related Work Experience",10,"Over 8 years, up to and including 10 years",16.76
17-2112.00,"Industrial Engineers",3.A.1,"Related Work Experience",11,"Over 10 years",4.62
17-2112.01,"Human Factors Engineers and Ergonomists",3.A.1,"Related Work Experience",1,None,4.76
17-2112.01,"Human Factors Engineers and Ergonomists",3.A.1,"Related Work Experience",2,"Up to and including 1 month",4.76
17-2112.01,"Human Factors Engineers and Ergonomists",3.A.1,"Related Work Experience",5,"Over 6 months, up to and including 1 year",4.76
17-2112.01,"Human Factors Engineers and Ergonomists",3.A.1,"Related Work Experience",6,"Over 1 year, up to and including 2 years",19.05
17-2112.01,"Human Factors Engineers and Ergonomists",3.A.1,"Related Work Experience",7,"Over 2 years, up to and including 4 years",33.33
17-2112.01,"Human Factors Engineers and Ergonomists",3.A.1,"Related Work Experience",8,"Over 4 years, up to and including 6 years",23.81
17-2112.01,"Human Factors Engineers and Ergonomists",3.A.1,"Related Work Experience",9,"Over 6 years, up to and including 8 years",9.52
17-2112.02,"Validation Engineers",3.A.1,"Related Work Experience",5,"Over 6 months, up to and including 1 year",5
17-2112.02,"Validation Engineers",3.A.1,"Related Work Experience",7,"Over 2 years, up to and including 4 years",50
17-2112.02,"Validation Engineers",3.A.1,"Related Work Experience",8,"Over 4 years, up to and including 6 years",35
17-2112.02,"Validation Engineers",3.A.1,"Related Work Experience",9,"Over 6 years, up to and including 8 years",10
17-2112.03,"Manufacturing Engineers",3.A.1,"Related Work Experience",1,None,15.38
17-2112.03,"Manufacturing Engineers",3.A.1,"Related Work Experience",4,"Over 3 months, up to and including 6 months",3.85
17-2112.03,"Manufacturing Engineers",3.A.1,"Related Work Experience",5,"Over 6 months, up to and including 1 year",15.38
17-2112.03,"Manufacturing Engineers",3.A.1,"Related Work Experience",6,"Over 1 year, up to and including 2 years",30.77
17-2112.03,"Manufacturing Engineers",3.A.1,"Related Work Experience",7,"Over 2 years, up to and including 4 years",11.54
17-2112.03,"Manufacturing Engineers",3.A.1,"Related Work Experience",8,"Over 4 years, up to and including 6 years",11.54
17-2112.03,"Manufacturing Engineers",3.A.1,"Related Work Experience",9,"Over 6 years, up to and including 8 years",3.85
17-2112.03,"Manufacturing Engineers",3.A.1,"Related Work Experience",10,"Over 8 years, up to and including 10 years",7.69
17-2131.00,"Materials Engineers",3.A.1,"Related Work Experience",1,None,23.81
17-2131.00,"Materials Engineers",3.A.1,"Related Work Experience",3,"Over 1 month, up to and including 3 months",4.76
17-2131.00,"Materials Engineers",3.A.1,"Related Work Experience",4,"Over 3 months, up to and including 6 months",9.52
17-2131.00,"Materials Engineers",3.A.1,"Related Work Experience",6,"Over 1 year, up to and including 2 years",23.81
17-2131.00,"Materials Engineers",3.A.1,"Related Work Experience",7,"Over 2 years, up to and including 4 years",19.05
17-2131.00,"Materials Engineers",3.A.1,"Related Work Experience",8,"Over 4 years, up to and including 6 years",4.76
17-2131.00,"Materials Engineers",3.A.1,"Related Work Experience",9,"Over 6 years, up to and including 8 years",4.76
17-2131.00,"Materials Engineers",3.A.1,"Related Work Experience",10,"Over 8 years, up to and including 10 years",4.76
17-2131.00,"Materials Engineers",3.A.1,"Related Work Experience",11,"Over 10 years",4.76
17-2141.00,"Mechanical Engineers",3.A.1,"Related Work Experience",1,None,4.18
17-2141.00,"Mechanical Engineers",3.A.1,"Related Work Experience",5,"Over 6 months, up to and including 1 year",10.38
17-2141.00,"Mechanical Engineers",3.A.1,"Related Work Experience",6,"Over 1 year, up to and including 2 years",6.98
17-2141.00,"Mechanical Engineers",3.A.1,"Related Work Experience",7,"Over 2 years, up to and including 4 years",25.93
17-2141.00,"Mechanical Engineers",3.A.1,"Related Work Experience",8,"Over 4 years, up to and including 6 years",26.4
17-2141.00,"Mechanical Engineers",3.A.1,"Related Work Experience",9,"Over 6 years, up to and including 8 years",17.61
17-2141.00,"Mechanical Engineers",3.A.1,"Related Work Experience",10,"Over 8 years, up to and including 10 years",5.9
17-2141.00,"Mechanical Engineers",3.A.1,"Related Work Experience",11,"Over 10 years",2.62
17-2141.01,"Fuel Cell Engineers",3.A.1,"Related Work Experience",1,None,12.5
17-2141.01,"Fuel Cell Engineers",3.A.1,"Related Work Experience",4,"Over 3 months, up to and including 6 months",4.17
17-2141.01,"Fuel Cell Engineers",3.A.1,"Related Work Experience",5,"Over 6 months, up to and including 1 year",8.33
17-2141.01,"Fuel Cell Engineers",3.A.1,"Related Work Experience",6,"Over 1 year, up to and including 2 years",29.17
17-2141.01,"Fuel Cell Engineers",3.A.1,"Related Work Experience",7,"Over 2 years, up to and including 4 years",25
17-2141.01,"Fuel Cell Engineers",3.A.1,"Related Work Experience",8,"Over 4 years, up to and including 6 years",8.33
17-2141.01,"Fuel Cell Engineers",3.A.1,"Related Work Experience",9,"Over 6 years, up to and including 8 years",8.33
17-2141.01,"Fuel Cell Engineers",3.A.1,"Related Work Experience",11,"Over 10 years",4.17
17-2141.02,"Automotive Engineers",3.A.1,"Related Work Experience",1,None,13.04
17-2141.02,"Automotive Engineers",3.A.1,"Related Work Experience",4,"Over 3 months, up to and including 6 months",4.35
17-2141.02,"Automotive Engineers",3.A.1,"Related Work Experience",5,"Over 6 months, up to and including 1 year",8.7
17-2141.02,"Automotive Engineers",3.A.1,"Related Work Experience",7,"Over 2 years, up to and including 4 years",30.43
17-2141.02,"Automotive Engineers",3.A.1,"Related Work Experience",8,"Over 4 years, up to and including 6 years",21.74
17-2141.02,"Automotive Engineers",3.A.1,"Related Work Experience",9,"Over 6 years, up to and including 8 years",8.7
17-2141.02,"Automotive Engineers",3.A.1,"Related Work Experience",10,"Over 8 years, up to and including 10 years",8.7
17-2141.02,"Automotive Engineers",3.A.1,"Related Work Experience",11,"Over 10 years",4.35
17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers",3.A.1,"Related Work Experience",1,None,9.08
17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers",3.A.1,"Related Work Experience",6,"Over 1 year, up to and including 2 years",25.59
17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers",3.A.1,"Related Work Experience",7,"Over 2 years, up to and including 4 years",3.65
17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers",3.A.1,"Related Work Experience",8,"Over 4 years, up to and including 6 years",21.56
17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers",3.A.1,"Related Work Experience",9,"Over 6 years, up to and including 8 years",1.37
17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers",3.A.1,"Related Work Experience",10,"Over 8 years, up to and including 10 years",19.39
17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers",3.A.1,"Related Work Experience",11,"Over 10 years",19.36
17-2161.00,"Nuclear Engineers",3.A.1,"Related Work Experience",1,None,55.56
17-2161.00,"Nuclear Engineers",3.A.1,"Related Work Experience",4,"Over 3 months, up to and including 6 months",3.7
17-2161.00,"Nuclear Engineers",3.A.1,"Related Work Experience",5,"Over 6 months, up to and including 1 year",7.41
17-2161.00,"Nuclear Engineers",3.A.1,"Related Work Experience",6,"Over 1 year, up to and including 2 years",3.7
17-2161.00,"Nuclear Engineers",3.A.1,"Related Work Experience",7,"Over 2 years, up to and including 4 years",18.52
17-2161.00,"Nuclear Engineers",3.A.1,"Related Work Experience",8,"Over 4 years, up to and including 6 years",3.7
17-2161.00,"Nuclear Engineers",3.A.1,"Related Work Experience",9,"Over 6 years, up to and including 8 years",3.7
17-2161.00,"Nuclear Engineers",3.A.1,"Related Work Experience",11,"Over 10 years",3.7
17-2171.00,"Petroleum Engineers",3.A.1,"Related Work Experience",1,None,5.8
17-2171.00,"Petroleum Engineers",3.A.1,"Related Work Experience",5,"Over 6 months, up to and including 1 year",15.43
17-2171.00,"Petroleum Engineers",3.A.1,"Related Work Experience",6,"Over 1 year, up to and including 2 years",16.64
17-2171.00,"Petroleum Engineers",3.A.1,"Related Work Experience",7,"Over 2 years, up to and including 4 years",1.75
17-2171.00,"Petroleum Engineers",3.A.1,"Related Work Experience",8,"Over 4 years, up to and including 6 years",20.93
17-2171.00,"Petroleum Engineers",3.A.1,"Related Work Experience",9,"Over 6 years, up to and including 8 years",21.23
17-2171.00,"Petroleum Engineers",3.A.1,"Related Work Experience",11,"Over 10 years",18.22
17-2199.03,"Energy Engineers, Except Wind and Solar",3.A.1,"Related Work Experience",1,None,4.55
17-2199.03,"Energy Engineers, Except Wind and Solar",3.A.1,"Related Work Experience",3,"Over 1 month, up to and including 3 months",4.55
17-2199.03,"Energy Engineers, Except Wind and Solar",3.A.1,"Related Work Experience",6,"Over 1 year, up to and including 2 years",9.09
17-2199.03,"Energy Engineers, Except Wind and Solar",3.A.1,"Related Work Experience",7,"Over 2 years, up to and including 4 years",31.82
17-2199.03,"Energy Engineers, Except Wind and Solar",3.A.1,"Related Work Experience",8,"Over 4 years, up to and including 6 years",31.82
17-2199.03,"Energy Engineers, Except Wind and Solar",3.A.1,"Related Work Experience",10,"Over 8 years, up to and including 10 years",4.55
17-2199.03,"Energy Engineers, Except Wind and Solar",3.A.1,"Related Work Experience",11,"Over 10 years",13.64
17-2199.05,"Mechatronics Engineers",3.A.1,"Related Work Experience",4,"Over 3 months, up to and including 6 months",10.2
17-2199.05,"Mechatronics Engineers",3.A.1,"Related Work Experience",6,"Over 1 year, up to and including 2 years",13.92
17-2199.05,"Mechatronics Engineers",3.A.1,"Related Work Experience",7,"Over 2 years, up to and including 4 years",12.75
17-2199.05,"Mechatronics Engineers",3.A.1,"Related Work Experience",8,"Over 4 years, up to and including 6 years",32.71
17-2199.05,"Mechatronics Engineers",3.A.1,"Related Work Experience",9,"Over 6 years, up to and including 8 years",18.41
17-2199.05,"Mechatronics Engineers",3.A.1,"Related Work Experience",11,"Over 10 years",12.01
17-2199.06,"Microsystems Engineers",3.A.1,"Related Work Experience",5,"Over 6 months, up to and including 1 year",0.3
17-2199.06,"Microsystems Engineers",3.A.1,"Related Work Experience",6,"Over 1 year, up to and including 2 years",38.55
17-2199.06,"Microsystems Engineers",3.A.1,"Related Work Experience",7,"Over 2 years, up to and including 4 years",8.82
17-2199.06,"Microsystems Engineers",3.A.1,"Related Work Experience",8,"Over 4 years, up to and including 6 years",21.93
17-2199.06,"Microsystems Engineers",3.A.1,"Related Work Experience",9,"Over 6 years, up to and including 8 years",16.65
17-2199.06,"Microsystems Engineers",3.A.1,"Related Work Experience",11,"Over 10 years",13.76
17-2199.07,"Photonics Engineers",3.A.1,"Related Work Experience",1,None,26.09
17-2199.07,"Photonics Engineers",3.A.1,"Related Work Experience",4,"Over 3 months, up to and including 6 months",4.35
17-2199.07,"Photonics Engineers",3.A.1,"Related Work Experience",5,"Over 6 months, up to and including 1 year",4.35
17-2199.07,"Photonics Engineers",3.A.1,"Related Work Experience",6,"Over 1 year, up to and including 2 years",8.7
17-2199.07,"Photonics Engineers",3.A.1,"Related Work Experience",7,"Over 2 years, up to and including 4 years",30.43
17-2199.07,"Photonics Engineers",3.A.1,"Related Work Experience",8,"Over 4 years, up to and including 6 years",26.09
17-2199.08,"Robotics Engineers",3.A.1,"Related Work Experience",1,None,3.33
17-2199.08,"Robotics Engineers",3.A.1,"Related Work Experience",2,"Up to and including 1 month",3.33
17-2199.08,"Robotics Engineers",3.A.1,"Related Work Experience",4,"Over 3 months, up to and including 6 months",10
17-2199.08,"Robotics Engineers",3.A.1,"Related Work Experience",5,"Over 6 months, up to and including 1 year",6.67
17-2199.08,"Robotics Engineers",3.A.1,"Related Work Experience",6,"Over 1 year, up to and including 2 years",6.67
17-2199.08,"Robotics Engineers",3.A.1,"Related Work Experience",7,"Over 2 years, up to and including 4 years",33.33
